PAM Day 3 — Cost Model Calibration Results
==================================================

Model: cost_ms = α × area_cells + β

  α = 0.000068 ms/cell
  β = 3.2323 ms
  R² = 0.6092

Calibration points: 55

Key predictions:
  Small region   (5×5=25 cells):     3.23 ms
  Delhi bbox     (10×10=100 cells):   3.24 ms
  India bbox     (56×48=2688 cells):  3.41 ms
  Half globe     (180×288=51840):     6.75 ms
  Full grid      (361×576=207936):    17.35 ms

Decision rule:
  Use PARALLEL when n_subqueries >= 2

Raw data:
   lat    lon       area  median_ms
------------------------------------
     5      5         25      3.385
     5     10         50      3.117
    10      5         50      3.274
     5     20        100      3.346
    10     10        100      3.280
    20      5        100      3.277
     5     30        150      3.189
    30      5        150      3.123
    10     20        200      3.145
    20     10        200      3.290
    45      5        225      3.170
     5     48        240      3.199
    10     30        300      3.358
    30     10        300      3.548
     5     72        360      3.364
    20     20        400      3.225
    45     10        450      3.252
    10     48        480      3.304
     5    100        500      3.250
    20     30        600      3.346
    30     20        600      3.255
     5    144        720      3.292
    10     72        720      3.240
    30     30        900      3.215
    45     20        900      3.345
    20     48        960      3.181
     5    200      1,000      3.325
    10    100      1,000      3.252
    45     30      1,350      3.135
     5    288      1,440      3.410
    10    144      1,440      3.219
    20     72      1,440      3.507
    30     48      1,440      3.226
     5    400      2,000      3.970
    10    200      2,000      3.521
    20    100      2,000      3.182
    30     72      2,160      3.171
    45     48      2,160      3.181
     5    576      2,880      3.830
    10    288      2,880      3.445
    20    144      2,880      3.236
    30    100      3,000      3.267
    45     72      3,240      3.254
    10    400      4,000      3.916
    20    200      4,000      3.427
    30    144      4,320      3.277
    45    100      4,500      3.157
    10    576      5,760      3.839
    20    288      5,760      3.342
    30    200      6,000      3.422
    20    400      8,000      4.115
    30    288      8,640      3.725
    20    576     11,520      4.194
    30    400     12,000      4.244
    30    576     17,280      4.249
